,article,date,comments
290,너 한명만 손절하고 난 행복하게 살래. 이때까지 함께해서 역겨웠고 내 인생에서 더 이상 나타나지 말아줬음 좋겠어.,22/07/14 18:35,[]
291,나 내일 폐쇄병동 입원해,22/07/14 12:20,"['결정하는데 고민많았겠다. 도움되면 좋겠어. 예서니까 라고 내가 자주 보는 채널있는데 거기에 폐쇄병동 입원 후기 같은 거 있더라고.', '고마워', '혹시 어떻게 결정하게되었는지 물어봐도 될까? 좀 그러면 답 안해도 돼! 나도 고려해봐야되나싶어서', '나는 원래 다니던 정신과에서 입원하라고 했어', '고마워', '나도 입원했었는데 별거 없음근데 치료 많이되서 퇴원함']"
292,난 연애를 못해 죽을 때까지 못할지도 모르겠네,22/07/14 03:28,"['하 나도 언제 연해한번 해보지', '나도 그럴듯 약간 확신', '나도. 너는 왜 못해? 나는 이성만보면 울렁거리는게 있음', '아니 이성이 아니래도 동성도 마찬가지....사람을 좀 기피함 동물이 더 좋음']"
293,너무 힘들어하지마,22/07/14 01:04,"['너두', '믿어요 긍정의 힘🔅🔅지금은 새벽이고 밤이니까 괜히 더 축 쳐지는 사람들은 이모티콘으로라도 따뜻했으면 좋겠당 🌻🔅🍀🌻🔅🍀🌻🔅🍀🌻🔅🍀🌻🔅🍀', '고마워 따뜻하다아🔥❤️\u200d🔥']"
294,그냥 모든 다 잘못하고 있는 것 같고이미 너무 오랫동안 잘못해온 것 같아나는 왜 이 모양일까,22/07/13 23:22,[]
295,"우울이란 감정도 사람을 힘들게 하지만, '불안'이 진짜 사람 미치게 하는 것 같아. 한번씩 심하게 불안해질땐 손발이 덜덜 떨리고 과호흡이오고 급격하게 피로해지면서 쳐지고 잠도 안오고... 여기 불안 심한 친구들 많지..? 힘내자ㅠㅠ",22/07/13 03:19,"['불안 그건 사람을 사람답지 못하게 만들어', '진짜 gnash - Dear insecurity 라는 노래가 모든걸 설명해줌.. 불안장애 힘들어', '불안 심하면 약먹는게 도움돼. 나 약먹고 많이 호전됐어 좀 강력한약을 처방해주셨어 애초에나는 대학병원정신과를 찾아갔거든']"
296,죽고싶다 죽고싶다 죽고싶다 살기싫다 살기싫다 살기싫다시발,22/07/13 01:36,['나도']
297,"죽고 싶다고 입 밖으로 꺼내본 적 없어그런데 오늘 나는 내 모든 인생을 누군가에게 부정당했고내 삶에 대한 부정을 악에 바쳐 변호했고죽어버리고 싶은 지금 내 심정을 고백했다그런데 정말 생각뿐이던 그 말이 와닿았고태어나 처음으로 죽고 싶다는 생각을 온 몸으로 진심으로 내뱉었다내가 살아야 하는 이유를 찾지 못했다심지어 그 일이 있기 2시간 전에나는 죽고 싶을 만큼 힘들다는 누군가의 말에살아야 함을 그 누구보다 강하게 욕을 하며 이야기하고 왔다그런데 지금의 나는누구보다 내가 살아있음의 이유를 변호하지 못 하고 있다저 이의 나의 숨쉼에 대한 부정을, 내 삶에 대한 부정을그저 몸으로 받아내고 억하심정을 내뱉을뿐내 어떤 가치를 증명하지 못하고 내 모든걸저 창문 아래로, 저 큰 창틀 아래로 흩날리고 싶다는 생각 뿐이었다내 삶의, 죽음의 용기가 어느 하나라도 남아있음을작은 흔적으로 남기고 싶음을누구에게라도 떠들어 남기고 싶다이것은 죽음의 용기인가 삶의 미련인가난 죽어야 한다 ""살아있음""의 가치는 나의 인생을 투영하지 못한다나의 가치는 죽음으로 누군가를 해방함에 있나보다나라는 인생은 저들의 족쇄이고나라는 숨쉼은 저들의 한숨이고나라는 존재는 저들의 불행인가그 자는 나를 수 년, 수십년 그렇게 바라봤겠지그 자는 나의 수 년, 수십년 그렇게 하찮았겠지그렇게 생각하니까 나에게 그런 진심을 쏟아냈을 것이고그렇게 인정하니까 너에게 그런 소리를 질러냈을 것이지즉고 싶다고 맘 밖으로 꺼내본 적 없어지금이처음이자마지막이야.근데 살고싶다",22/07/11 03:40,['부탁할게 살아줘']
298,죽고싶다진심,22/06/30 16:32,"['삭제된 댓글입니다.', '왜 시비세요']"
299,나 혼자 바로 설 수 없다는 게 너무 슬퍼늘 기댈 곳을 찾고 혼자서 살아내지 못하는 사실이 슬퍼그냥 혼자 조용히 사라지고 싶어잘 해낼 자신도 없고 이런 감정 우울함을 느끼는 내가 싫어사랑받고 싶은데 그게 뭔지도 모르겠어그냥 내가 싫다혼자 정말 조용히 사라지고 싶어내가 문제를 해결할 수 없다는 게 그저 괴로워하는 거 밖에 할 수 없는게 너무 싫어 어느날 자고 일어났는데 내가 없어졌으면 좋겠어,22/06/29 20:10,['너무너무너무 공감..']
300,병때문에 올f받고 학고받은사람잇어?내가그런데 진심 자살마렵다,22/06/29 01:13,"['헐 ㅁㅊㅁㅊ나도..', '나 하나는 교수님한테 안냈냐고 문자도 옴 ㅋㅋ..', '나도 학고받았는데,, 결국 3점대 후반으로 졸업해 재수강하면돼 걱정하지마 아무일도 아녀']"
301,선우정아 - 터트려씨엘 - Let it듣고 다들 1초라도 더 살아보자…,22/06/28 22:11,[]
302,나를 이 세상에 왜 태어나게 하셨나요..? 이렇게 힘들줄 알았으면 절대 이 세상에 나오지 않았을텐데.. 아니 부모님이 무슨 잘못이겠어요 남들은 잘만 사는데 이렇게 힘들어하고 사는건 고통이라고 생각하는 자식이 나올 줄 아셨겠어요? 모든건 다 내탓이겠죠 아니요 백번 생각해봐도 내 탓도 아니예요 누가 힘들고싶어서 힘드나요 탓할건 이 세상 뿐이네요 내겐 이 세상이 정말 갑갑하고 숨막히고 엄격한 곳일 뿐이네요 이 곳에서 제발 벗어나고싶어요 모든걸 그만두고싶어요 살기싫어요 사실은 정말 살고싶고 잘 해내고싶은데 이젠 너무 두렵고 지쳐요 나 이제 어떡해요 진짜 이대로 끝인거겠죠,22/06/26 21:03,[]
303,숨 쉬는 것마저 고통이다… 너무 살기 싫어서 내쉬는 공기마저 아프게 느껴져,22/06/26 19:58,[]
304,내일은 꼭 죽어야지매일 이 다짐만 하면서 사네,22/06/26 00:05,[]
305,약 이정도 먹으면 우울증 얼만큼 심한 거야?그렇게 심한 정도 아니면 약 좀 늘려달라고 하려고 요즘 너무 힘들어서,22/06/24 01:47,"['힘드시면 늘리는게 맞아용 ㅠㅠ늘리고 싶다고 의사샘과 상의해보셔용 ㅠㅠ', '저정도면 일상생활 힘들지 살아있는게 기적이다']"
306,진짜 태어난게 개빡칠때가 있음,22/06/22 20:04,['항상이지 내 동생이 나 대신 태어났어야 했는데']
307,내가 가치있는 사람인지 모르겠어서 끊임없이 의심하게돼,22/06/22 01:36,"['충본히 가치있어!', '나도 오늘 그런 생각이 씨게 들어서 여기 게시판 왔는데... 우리는 우째야 하는걸까...']"
308,화가 난다,22/06/21 20:23,[]
309,외로워,22/06/21 11:54,['나도 외로워...']
310,속도 썩고 겉도 썩는다,22/06/21 02:52,[]
311,다들 사랑해. 한 명 한 명 너무 귀해.,22/06/20 21:56,[]
312,지금 자살이든 교통사고든특히 사고로 죽어서 편안해지고 싶은데부모님한테 투자비용 갚아야할 것도 많고못 볼 꼴 보여드리고 싶지도 않고어떻게든 돈 벌어서 사망보험금 가득 부어놓고돈이라도 많이 남기고 자살하거나 암에 걸리거나 해서 죽으면 될 거 같다이미 망한 인생이라 더 앞은 보고싶지도 않고 헛된 지랄같은 생각 다 갖다버리고 기계처럼 돈만 모아놓고 적절할때 죽어서 편안해지고 싶다내 존재를 가족들도 모두 잊어버릴수만 있다면 편히 갈텐데 기억 소거 마법 같은거 쓰고싶다얼른 안락사가 보편화되는 시대가 왔음 좋겠다,22/06/20 17:03,"['아니야,,,,잘하고 있어 우리 같이 해보자']"
313,수면위로 올라와도 허무하게도 다시 깊은 물속으로 빠진다,22/06/20 11:00,['숨참고 러브 다이브~']
314,그냥 괜찮다고 잘 될 거라고 해주라...,22/06/20 00:50,"['괜찮아 다 잘될거야 잘하고있어', '내가 응원할게', '잘 될거야!!!넌 진짜 최고야🤗']"
315,너무 힘들어서 기말 대체 레포트 못낼것같다...,22/06/18 22:29,[]
316,운석 안 떨어지나...,22/06/18 02:31,"['제발 지구가 멸망했으면', '멜랑꼴리아…', '문폴 영화로 대리만족 ㄱ~']"
317,다 죽어버리면 안되나,22/06/17 16:54,[]
318,한학기정도 휴식을 갖는것고 좋은데마냥 오래쉬는것도 좋지만은않은것같다,22/06/16 09:07,[]
319,난 도대체 무엇을 위해 지금껏 살아오고있는것일까너무 힘이 드는데뭐가 무서워서 여태 죽지않고 살아있는걸까,22/06/16 02:29,"['난 아픈 게 무서워', ""살아서 언젠가는 꼭 '이걸 위해 살아왔구나'라는 감정을 느끼는 날이 오면 좋겠다 죽고 싶은 건 그만큼 스스로를 사랑하고 있고 더 나은 삶을 원하니까 그런 거라고 생각해 살아 있어줘서 고마워 내일은 오늘보다 덜 힘든 날이 되었으면 좋겠다""]"
320,학기말에는 늘 우울하다,22/06/15 18:12,[]
321,한동안 자해 끊었는데.. 중요한거 잊어먹고 안한걸 오늘 깨달아서 못견디겠어,22/06/15 16:32,"['안돼..', '괜찮아? 안 아팠으면 좋겠는데ㅠ']"
322,"오늘도 지구 멸망을 기도하며 잠에 듭니다.내가 괴롭지 않게, 괴로워 하는 이가 없게.",22/06/14 02:57,"['와 나랑 똑같다', '좋네']"
323,공부도 안했으면서 꼴에 학생이라고 시험기간 다가오니까 숨통이 죄이네. 점수 신경 안쓰기로 했는데 시험이 코앞이라 그런가 위도 쓰리고 불안하다,22/06/13 18:31,['나도….불안해 미치겠어']
324,수면제먹고 잠들고싶다 오랫동안,22/06/13 15:54,[]
325,"세상에 영원한건없다 무소불위의 권력도, 그 순간은 영원할것만 같았던 사랑도 슬픔도 행복도 그모든게",22/06/13 08:39,[]
326,나 부모님 이혼하시고 양쪽 다 연락 끊고 살거든... 근데 이제 와서 부모님이 합치네 마네 소리 하고 계셔.. 부모님 때문에 나도 진짜 힘들게 살았는데 이제 와서 합치려고 의논 중이란 말 듣고 그냥 다 허탈하고 내가 뭐하러 그렇게 힘들었나 싶고 그래 난 차라리 부모님 신경 안쓰고 살고 싶은데 부모님은 다시 합칠테니까 자식 노릇 계속 해주길 원함... 다 싫다 그냥 이대로 사라졌으면,22/06/13 01:48,"['ㅠㅠ 부모님 신경쓰지말고 너 인생 살아 라는 말 해주고 싶어. 부모님은 각자 부모님대로 자기 입장에서 자기 하고 싶은거 하는거고.. 너도 똑같이 너가 하고 싶은대로 하면서 인생살아. 부모님이 합치던 말던 신경쓰지 말고, 그냥 네네 알겠습니다 하면서 한 귀로 듣고 한 귀로 흘려. 아예 부모님과 거리를 두는 것도 좋은 방법이고. 너가 하고 싶은대로 너가 행복할 수 있는대로 너의 사람을 만나고 너의 삶을 만들어']"
327,"모두가 날 싫어해서 우울증에 걸리는건가?아니면 그렇게 느끼는게 우울증인건가?그냥 아무한테도 이해받지 못하는기분이고,평생 그럴것같아..아무래도 지구는 곧 종말할거 같아서 아무런 의미없어",22/06/12 18:54,[]
328,개미친년 너 하나 때문에 내 인생은 아직까지도 회생이 안 돼 난 너가 나처럼 힘들어서 좆되거나 뒤졌으면 좋겠어,22/06/12 03:28,[]
329,어제는 죽는거말고는 방법이 없다고 생각했는데 나와서 바람도 쐐고 하니까 오늘은 또 살고싶네,22/06/11 17:17,['잘했어 👏👏']
330,하시발……….빨리증량하고싶은데 약먹으면 졸리고 졸리면 공부를 못해서 증량을 못하네 종강언제해 진짜학교를 메워야만,22/06/11 01:25,[]
331,외모 강박때매 미쳐버릴것같은데 성형해도 못생겨서 죽고ㅠ싶다 진짜,22/06/08 09:12,[]
332,재작년에도 작년에도 몇 주 전에도 왔던 내가 죽지도 않고 또 왔네~,22/06/05 05:43,[]
333,코로나전부터 아싸였던 사람 있노????,22/06/04 18:42,[]
334,haaaaaaaaaaaaaakkkkkkkkkkkkkkkkkkkkkk!,22/06/04 00:48,[]
335,"진짜 남들때문에 우울해졌다가실은 내가 잘못한 거고 남들은 당연한 반응이었다는 걸 알게 되면 더더욱 우울해지네.그냥 처음부터 내 나쁜 습관을 줄였으면 좋은건데 내 우울감에 남이 죄책감 느끼길 원하면서 징징대다니.원하는 말을 듣고 싶어서 더 자학해봐도 돌아오는 건 그냥 내가 잘못했다는 진실 뿐인데.진짜 존나 죽어버리고 싶을정도로 내가 싫은 건 마지막까지 자존심 굽히기 싫어서 그냥 몰라, 라고 대꾸하고 끊어버리고 이런 글이나 쓰기 때문이지.앞에서는 반성하지 못하고 그냥 반성하는 기분으로 자학하면 그게 무슨 가식적인 행동일까.",22/06/03 23:50,[]
336,매일같이 우울에 침전된 삶을 살다가도가끔은.. 아주 가끔은.. 딱히 우울하지 않는 날이 있다.우울하지 않는다는 기분이 이젠 어색해져버린 오늘날이럴때면 마치 우울의 자리가 내가 원래 있어야 될 자리인것마냥.. 되돌아가야만 할것같다는 생각이 들어이번에 찾아온 마음의 평화는 또 유통기한이 언젠가지일까,22/06/03 16:38,[]
337,나는 인간으로서 죽는가,22/06/03 16:10,[]
338,아름다운 풍경 보면 너무 황홀하고 딱 그 순간에 죽고싶음 걍 이렇게 예쁜 풍경 보면서 행복한 기분 그대로 죽고싶어 이 기분이 끝나고 집으로 현실로 돌아가야된다는 사실이 너무 싫어,22/06/02 03:38,['나도']
339,아개힘들다 약먹고싶은데 약이없다 예약날짜 한참남았는데 개빡치네 너무울어서 귀가 멍멍하다 아 시부럴 하루를 울다가 날리네,22/06/01 21:00,"['삭제된 댓글입니다.', '시브럴 우리 힘내자']"
340,얘들아 오늘도 고생많았어 🥰🥰,22/05/31 22:40,[]
341,불안해서 가만히 있지를 못하겠어 살려줘,22/05/31 01:36,['나도 너무 불안해서 단 몇초도 가만히 못 있겠어 살려줘']
342,그냥 물에 젖은 빨래 느낌이야,22/05/29 14:39,[]
343,나도 힘든데 다른 사람 챙겨주려니까 더 힘든 기분이야,22/05/28 22:36,[]
344,사랑을줘요,22/05/28 02:58,[]
345,자해 흉터 남는거 무서워서 뭉툭한 날로 그엇더니 상처가 더 크게 났어...,22/05/27 19:13,"['ㅠㅠ하지마', '나라도 꼭 안아주고 싶다']"
346,"남자 키 159cm외모도 볼품없고동성애자.집안 대대로 가난하고성격도 인프피에 내성적이면서 회피성향짙고 남시선의식 많이하고 자기혐오에 피해의식, 전형적인 자의식과잉에 예민하고 히스테릭함. 한마디로 은은하게 성격이 파탄난 인간의 대명사.장애는 없다. 큰 지병도 없다. 부모에게 학대받고 자라지 않았다.학창시절 교우관계 문제도 없었다.현재 나는 만성적인 우울증과 외모집착,강박을 겪고 있다.내가 노력해서 키가 170이 되고, 이성애자가 되고, 성격을 개조할수 있을까? 그건 내 컨트롤 영역 밖이다.'그래, 내 상황이 이렇다 한들 어쩌겠어, 죽을순 없잖아.' 하고 담담하게 받아들이다가도..거울앞에서, 혹은 군중들 속에서 타자화된 나를 바라볼때면 그 얄랑한 자존감따윈 매번 쉽게 무너진다.내 외형,내면, 환경 그런 구분따위를 넘어 나에 관한 그 모든것들이 싫다 어떡하지 인생이 진짜 답도 안나온다 너무 막막하다나같은건 애초에 이 세상에 태어나서는 안될 존재였던거 같다.그래야 마땅할 운명이 오늘날에도 꾸역꾸역 먹고자고싸면서 목숨을 연명한다",22/05/27 10:16,"['다들 이런 내 상황에 힘내란 말밖에 해줄말이 없다고들 한다. 정신과도 소용이 없었다. 애초에 유전자에 기인한 불행이기에 바꾸기가 불가능에 가까운 문제들 투성이니.. 그래도 살아야한다는 위로도, 스스로에게 건네는 다짐도 이젠 지친다', '이렇게 생각하다보면 난 그냥 죽어마땅한 존재였음으로 귀결된다. 무한한 허무.. 내 정신이 멀쩡하게 돌아가는 이상 이 허무의 굴레는 끊어버릴수 없을것같다. 정말로 사리분별거 못할정도로 미쳐버리거나, 그도아님 죽거나.', '책많이 읽고 자의식 과잉의 너를 풀어줘', '여자인데 나조 키 ㅈㄴ 작아서 다른거는 모르겠고 키때문에 우울한거 백퍼 공감한다 바꿀 수 없다는게 받아들여야한다는게 힘들지', '나조가 아니라 나도', '야 나도 키 때문에 고민 많이 해서 그 마음 알아.... 좀 불편하긴 해도 발목까지 올라오는 신발에 깔창 많이 깔면 그래도 160 후반대까진 만들 수 있어 그렇게라도 해보고 나름 만족스러우면 키 수술 생각해보고...']"
347,졸업한지 3년이 지났는데 우울할 때 결국 오는 곳은 여기야 친구들아 어떻게 버티고 있니,22/05/26 20:53,['그냥 자고 일어나고 그렇지']
348,✨마음챙김 게시판 11주차✨주제: 축하해🎂https://everytime.kr/510622/v/253177660여러분들의 삶을 응원합니다.오늘도 좋은 하루 보내시기를:-),22/05/26 16:01,[]
349,그냥 태어난게 그것도 이상하게 태어난게 재앙이다,22/05/15 18:07,[]
350,"고 1 2 3 정시 하나에 올인해서 정말 열심히 살았다 소리 많이 들었고 그렇게 생각했는데 22수능 말아먹고 국어, 화학, 생명풀면서 지능의 한계를 느꼈다.결국 온건 글캠그래서 새로운 판으로 도망친게 편입판.시도를 해보려 해도 응원은 없고 또 혼자 참아야되네?글캠이 내 실력이라고 받아들이지를 못하겠다.. 죽고싶네계속 남 밑을 기어야하고 억울해도 참고 피곤해도 해야하고 남는건 없고 이젠 칭찬도 지지도 신뢰도 없어인생이 너무 힘들다.최근 몇년간 하도 수치스러운 일상이 계속되어서 이게 내 인생의 한계인가 싶고 나아진다는데 그건 언제쯤일까 싶다. 고1 2 3 은 수능 잘 치면 괜찮아질거라고 생각했는데 망하고 나니까 이제 또 편입판까지 2년이네.이때까지도 견디고 견디고 견뎠는데 언제까지 참아야하는거지..?더 이상 무시받기 싫고 열등감 갖기 싫어",22/05/15 16:43,"['이번엔 너자리찾아갈거야나도 진짜 뒤늦게야 힘들게 내가 납득할만한 곳에 소속됐는데 그때 친구어머니가잘될줄알았어 돌아서라도 결국 니 자리에 갔구나!어떤 말보다도 그 말이 엄청 기뻤다포기하지말고 너무 우울하지말고널 잘 달래가면서 여정이어가길 응원할게', 'ㄱㅅㄱㅅ..', '야야 왜그러냐 좀 쉬면서 살아']"
351,우울해 하루종일 물에 빠진 느낌이야,22/05/14 03:18,[]
352,"✨마음돌봄 게시판 9주차✨주제: 지금, 우리, 푸르게🦋https://everytime.kr/510622/v/251355647",22/05/13 21:30,[]
353,사람이싫어,22/05/12 20:03,[]
354,죽자~죽자죽자~죽어,22/05/12 03:55,[]
355,자살 말리는데 술먹어줄사람 내가 여자라서 여자만 주사없음,22/05/12 01:54,[]
356,휴학하고싶은데 휴학하면 여기서 더 쓰레기같이 살 것 같은데학교 가서 사람 만나는 것도 날마다 쏟아지는 과제도 수업조차 못 따라가는 내 머리도 싫다그냥 다 그만두고 쉬고 싶어,22/05/12 00:49,"['내가 쓴줄..', '휴학하고 여행 갔다 와..', '안 그래도 재수해서 남들보다 늦는데 더 늦으면 안 될 것 같아서 휴학도 못하겠고 여행 갈 돈도 없어']"
357,자살하까?ㅠㅠㅠ자살하고시퍼ㅠㅠㅠㅠㅠ,22/05/11 01:32,['아니.']
358,착한 사람이 좋아.그런 사람을 동경하고 나도 되고 싶다고 생각해.근데 난 그런 사람이 될 수 없더라.나를 도와준 사람처럼 되고 싶은데 그냥 갈수록 느껴지는 건 그런 사람이 되지 못하는 나에 대한 혐오감뿐이야.,22/05/10 06:35,"['삭제된 댓글입니다.', '난 모르겠지만 네가 좋은 사람인건 알겠어. 고마워']"
359,약끊은지반년...복학하니까 하루하루 과제 공부 취업생각 졸업생각 전공실력 고민하면 끝이없다.다시 우울증 도져온다.약으로라도 느꼈던 마음의평화...그립다.,22/05/10 02:58,[]
360,나 더는 못견디겠어서 내일 정신병원 상담받으러간다우울감 그만 느껴졌으면 좋겠다그만 울고 싶다,22/05/09 21:59,"['삭제된 댓글입니다.', '힘내라고 말해줘서 고마워 너도 나도 내일은 좋은 하루가 됐으면 좋겠다', '난 어릴 적부터 안좋은 추억이랑 결핍도 되게 많았고 꾹 참고 산게 한 5년정도 됐는데 이제는 사람도 무섭고 가만히 있어도 불안해서 눈물이 막나고 공황증세까지 오니까 일상생활하기가 힘들더라고.. 처음엔 시간 지나면 괜찮겠지라고 버티면서 꾸역꾸역 살았는데 도저히 안되겠어서..']"
361,삶을 이어나가는게 의미가 있나,22/05/09 01:18,[]
362,평범하게 무난하게 살고싶다는게 그렇게 큰 욕심이였나태어날 때부터 무난하게 살 수 없는 운명이라 살기 힘들고 살고 싶지도 않다,22/05/08 15:06,[]
363,발전이 없다 공부해도 개념 내용자체가 어려워 이해가 안되고시험도 상위80퍼고 게임을해도 딱 이정도고인생 왜 사는지 모르겠다.그냥 자살하고싶다,22/05/07 23:52,"['삭제된 댓글입니다.', '그 길 하나만 예를 들어줘', '나도.....']"
364,애써 외면한채 살았던 과거의 안좋은 기억과 열등감들이 자꾸 꿈에 스멀스멀 나타나서 날 괴롭힌다. 무의식의 세계에서조차 마음 편히 못있으니 숙면을 못취하는건 당연하고 깼을 때 불쾌하기까지 해. 어쩔 땐 저 기억에서 영원히 못벗어날 것 같다는 불길한 생각도 든다. 내가 꿈에서라도 평안하고 행복했으면 좋겠다.,22/05/07 23:34,[]
365,태어난게 억울하다,22/05/05 22:09,"['공감', '엄마는 날 낳았어 날 안 지워서 고마워']"
366,난 왜 당연한 사실에 우울함을 느끼는 건가.나한테 의사 선생님이 이것저것 물어보시는 건 당연히 금전관계에 의한 진료행위이지 개인적인 친밀감을 느끼는 게 아닌데 왜 난 자꾸 선생님한테 기대하고 또 그렇지 않다는 걸 상기시키며 나에 대해 질문하시는 행동자체를 속으로 비웃는 걸까?이런 내가 싫어. 그냥 뭐든 간에 담담해지고 인정하고 넘어가고 싶어. 나도 좋은 사람이 되고 싶은데 자꾸 본성이 꼬여버린 인간인 게 드러나서 처음부터 다시 태어나고 싶은 기분이야.,22/05/05 19:56,[]
367,자살 읍읍,22/05/05 00:56,[]
368,삶은 진짜 고통의 연속이다사는게 너무 무서워...,22/05/04 09:19,[]
369,그냥 슬프다 죽고 싶다 왜 살까 나는,22/05/03 19:29,[]
370,버티고는 있는데 버틴다고 달라질까,22/05/03 08:37,[]
371,애휴 나같은 고졸저학력자백수흙수저거지찐따미필뚜벅이무주택미혼노총각독거노인도태한남버러지밑바닥인생인간쓰레기기생충세금도둑불가촉천민은자살해야겠다,22/05/02 21:02,[]
372,제발 세상이 멸망했으면,22/05/02 14:15,[]
373,외대 상담 대기 언제까지 해야해??? 당장 뒤질거같은데 상담시켜줘,22/05/02 00:42,[]
374,아 시발 진짜 짜증나고 다 내탓같고 자살하고싶어,22/05/01 20:05,[]
375,"너무 우울하긴 한데 이상하게 공황장애는 오지 않는다..그럼 나는 별로 안 우울한 건가? 나는 별로 우울하지도 않는데 우울한 척 하는 건가? 나보다 더 힘든 사람도 많은데, 난 너무 나약한 걸까.. 난 우울해할 자격 조차 없는 건가..",22/04/30 16:56,['우울이랑 공황장애는 별개입니다. 그리고 그런 생각이 들면 높은 확률로 우울한 거 맞아요. 한창 우울증으로 힘들었을 때 딱 똑같은 생각 했었네요']
376,오늘도 아니였다,22/04/29 18:44,[]
377,오랜만에 들어와서 핫게 보니까 사라졌던 자살 생각이 다시 드네,22/04/28 11:01,['보지마']
378,"우울증 있어도 기분 괜찮고 밝고 잘 웃는 날이 며칠동안 지속될 수 있는거야.? 몇년 전부터 우울증이 의심돼서 몇주 전에 상담예약까지 잡았는데 막상 상담 날짜 다가오니까 내가 밝아져 있어서 당황스러워. 밝다는게 행복해! 인생이 즐거워!이런건 아닌데, 전에는 숨막히고 다 아니꼽게 보이던 것들이 덤덤하게 받아들여져. 죽음에 대한 갈망은 여전히 있는데 그 충동이나 우울감은 많이 줄어든  기분이야 아무 이유도 없이. 이러다가 순식간에 상태가 나빠지는 과정을 1년 넘게  겪어서, 그리고 한번 우울해지면 우울감의 깊이가 너무 깊어서 힘든데 혹시 이게 그냥 내 성격일 가능성도 있을까. 얼마 전에(조금 밝아지기 전)인터넷에 있는 자가진단테스트 5개 정도 해봤는데 거기선 다 심한 우울증이라 떴었거든? 차라리 우울증이라 그러면 병이니까 약먹고 상담받으면 나아지겠지 싶은 희망이라도 있는데 그냥 타고난 성격이라 그러면 어떡하지..나랑 같은 고민한 친구 있으면 경험 좀 적어주고 가줘. 어쩔땐 내가 우울을 방패삼고 싶은건 아닌지 싶어.",22/04/28 02:17,"['친구들이랑 톡할 때도 전에는 도저히 내 울적한 감정을 못숨기겠어서 딱딱하게 답하거나 억텐 끌어올렸는데, 지금은 그냥 평범한 사람처럼 즐겁게 소소한 일상토크가 가능해졌어. 나 뭘까', '원래 사람 기분이 그렇지 뭐. 자연스러운거야. 근데 전에 테스트 해봤을 때 심한 우울증이라고 떴었다면 이번에 상담 가서 그런거 다 말씀드리고 지금 상태가 어떤지도 말씀드려보자. 다시 전처럼 우울해질까봐 불안하다는 것도.', '지금보다 더 훨씬 어렸을때 느꼈던 감정들을 찬찬히 떠올려보면 돼. 없었다 생긴 우울증이라하면 정확하진 않아도 그 분기되는 기점이 분명 있을꺼고,원래 우울에 취약한 기질을 타고났다 그러면 어린시절때도 지금과 비슷한 감정의 형태를 느꼈던적이 있을꺼야.아님 둘다에 해당 될수도 있고..', '흔히들 우울증이 마음의 감기라잖아. 근데 왜 같은 감기도 유독 잘걸리고 또 심하게 앓는 사람이 있는가하면, 가볍게 지나가는 사람도 있잖아? 그런것처럼 우울감 또한 기질상 우울에 취약한 사람도 있고 면역력이 강한사람도 있고 뭐 그런거라고 생각해 나는']"
379,난 진짜 우울한게 아니라 어쩌면 우울해 하고 싶어하는걸지도 모른다나의 우울의 역사는 아주 길지만 또 그만큼 깊지않다.,22/04/27 17:18,['왜 그렇게 생각하는지 물어봐도 돼?']
380,자살하고싶다 진짜 자살하면 안되나,22/04/27 15:54,[]
381,나를 사랑해야 남들도 나를 사랑해준다? 나조차도 객관적으로 봤을때 커버못해줄정도로 사랑스럽지가 않아서 날 사랑하지 못하는건데요..,22/04/27 12:00,['너의 사랑스럽지 않은 부분도 너의 일부라고 인정하고 받아들이는게 시작이야']
